app_tagline	सरल. सटीक. सुरक्षित.	Simple. Solid. Secure.
draw_unlock_pattern	अनलॉक पैटर्न बनायें	Unlock pattern banayein
draw_patern_again	दोबारा सेम पैटर्न बनायें	Dobara pattern bana kar confirm karein
set_pattern	पैटर्न सेट करें	Set Pattern
confirm_pattern	पैटर्न कन्फर्म करें	Confirm Pattern
incorrect_pattern	गलत पैटर्न	Galat Pattern
invalid_pattern	कम से कम 4 डॉट कनेक्ट करें	Kam se kam 4 dots jodein
pattern_mismatch	दोनों पैटर्न एक जैसे नहीं हैं।	Dono patterns match nahi ho rahe
pattern_verified	सही पैटर्न	Pattern Verified
forgot_pattern	पैटर्न भूल गये?	Pattern bhool gaye?
pattern_disable_sign_in_msg	ऐप्प लॉक हटाने के लिए अपने OkCredit पासवर्ड से साइन इन करें।	Apne password se sign in kar ke app lock ko off karein
due	उधार	Udhaar
old_balance_screen_tut_desc	%1$s तक का टोटल पुराना बैलेंस रिकॉर्ड करें और ग्राहक को स्पेशल ओपनिंग बैलेंस SMS भेजें	%1$s tak ka purana udhaar jode aur apne customer ko ek special opening balance SMS bhejein
record_first_tx	OkCredit ट्राई करने के लिए टेस्ट ग्राहक पर क्लिक करें	TEST customer par click kar ke OkCredit try kijiye
update_noti_title	OkCredit अपडेट करें	OkCredit update karein
update_noti_subtitle	और लेटेस्ट फीचर्स पायें	aur latest feature paaiye
app_lock_noti_title	खाता सेक्यूरिटी बढ़ाएं	App Lock on karein
app_lock_noti_subtitle	ऐप्प लॉक लगायें	aur apne Account ko secure karein
reminder_noti_title	बैलेंस अपडेट कर लें	Balance update karein
reminder_noti_subtitle	5 तारीख को रिमाइंडर भेजे जायेंगे	5th ko reminders bheje jayenge
share_noti_title	OkCredit शेयर करें	Dosto ko surprise karein
share_noti_subtitle	दोस्तों को दें एक डिजिटल गिफ्ट!	aur bhejiye ek digital gift
no_internet_title	इंटरनेट जरुरी है	Internet Jaruri hai
no_internet_msg	टास्क के लिए इंटरनेट आवश्यक है। कृपया इंटरनेट से कनेक्ट होने के बाद दोबारा प्रयास करें।	Iske liye internet jaruri hai. Kripya internet se connect ho kar dobara prayas karein
no_internet_msg_customer	कस्टमर अभी तक ऑफलाइन उपलब्ध नहीं है। कृपया इंटरनेट से कनेक्ट होने के बाद दोबारा कस्टमर लोड करने का प्रयास करें।	Customer offline maujood nahi hai. Kripya internet se connect hone ke baad dobara prayas karein
report_loading_msg	रिपोर्ट तैयार हो रहा...	Report banaya jaa raha…
home_no_internet_msg	इंटरनेट कनेक्शन नहीं है	Internet connection nahi
payment_reminder_whatsapp_msg	पेमेंट पेंडिंग - कृपया जल्द से जल्द पेमेंट करें। %1$s से अपने खाते का डिटेल देखें।	Payment pending - Kripya jald se jald payment kijiye. %1$s se details check karein
share_okcredit	दोस्तों को बताएँ	Share OkCredit
other_options	अन्य विकल्प	Other Options
thanks_in_advance	अग्रिम धन्यवाद! 😊	Advance Dhanyawaad!😊
share_okcredit_app	OkCredit ऐप को अपने व्यवसायी दोस्तों के साथ साझा करें	Apne vyapaari dosto ke saath OkCredit share karein
rating_noti_title	OkCredit पसंद है?	OkCredit pasand hai?
rating_noti_subtitle	हमें रेट करें और अपने विचार व्यक्त करें	OkCredit ko rate kare aur reviews share karein!
rate_okcredit	रेट OkCredit	Rate OkCredit
rate_five_star	हमें 5 सितारा रेट कर, OkCredit से अपना प्यार जताएँ!	5-stars rate karein aur OkCredit ko apna pyar dein
thanks_for_love	आपके सहयोग के लिए धन्यवाद!	Aapke pyaar aur sahyog ke liye dhanyawaad!
rate_five_star_and_reviews	हमें 5-स्टार रेट करें और अपने विचार व्यक्त करें!	5-stars rating de kar apne reviews share karein!
rate_playstore	प्लेस्टोर पे रेट करें	Play Store par Rate karein
help_us_make	OkCredit को बेहतर बनाने में सहयोग दें!	OkCredit ko behtar banane me hamari madad karein!
submit_feedback	प्रतिक्रिया व्यक्त करें	Feedback Dein
feedback_and_suggestions		
what_will_make_five_star	OkCredit को 5-स्टार ऐप कैसे बनाएँ?	OkCredit 5-star app kaise ban sakta hai?
please_enter_feedback	कृपया अपनी प्रतिक्रिया दें	Kripya apna feedback Jamaa karein
thanks_for_feedback	आपके अनमोल प्रतिक्रिया के लिए धन्यवाद!	Aapke bahumulya feedback ke liye dhanyawaad
payment_reminder_by	के द्वारा पेमेंट रिमाइंडर।	Payment Reminder by
payment_reminder_amount	अमाउंट:	amount:
payment_reminder_check_details	डिटेल चेक करें	Details check karein
send_to_customer	ग्राहक को भेजें	Customer ko bhejein
send_total_balance	टोटल उधार बैलेंस भेजें	Total udhaar balance bhejein
send_payment_reminder_whatsapp	पेमेंट रिमाइंडर WhatsApp करें	WhatsApp se Payment Reminder bhejein
summery_of_all	आखरी 0 बैलेन्स से अभी तक के सारे लेन देन का विवरण	Pichhle 0 balance ke baad saare len-den
mini_statement_whatsapp	मिनी स्टेट्मेंट WhatsApp करें	WhatsApp se Mini Statement bhejein
send_month_report_whatsapp	मासिक रिपोर्ट WhatsApp करें	WhatsApp se maasik report bhejein
send_current_last_summery	इस महीने के सारे लेन-देन का विवरण	Is mahine ke saare Udhaar / Payment ka record
sms_reminder	पेमेंट रिमाइंडर SMS करें	SMS se Payment Reminder bhejein
send_sms_from_phone	अपने फोने से SMS भेजें. SMS चार्ज आपके मोबाइल सर्विस पर निर्भर है	Apne phone se SMS bhejiye. Standard SMS rates lag sakte hain.
sms_sent	SMS भेजा गया	SMS bheja gaya
sms_send_failed_try_again	SMS भेजना विफल। कृपया SMS ऐप्प इस्तेमाल करेंं	SMS bhejna vifal. Kripya apne SMS app ka prayog kare
sms_delivered	SMS पहुंचा दिया	SMS pahuch gaya
sms_not_delivered	SMS नहीं पहुंचा	SMS nahi bheja gaya
sms_sending	SMS भेज रहा है…	SMS bheja jaa raha…
language_malayalam	മലയാളം	മലയാളം
gallery	गैलरी	Gallery
camera	कैमरा	Camera
import_phone_contact_title	कांटेक्ट लिस्ट से जोड़ें	Import Phone Contacts
import_phone_contact_desc	अपने फोनबुक से नए ग्राहकों को जोड़ने के लिए कांटेक्ट को सिंक करें।	Apne customers ko OkCredit me jaldi se jodne ke liye Phonebook se Contact import karein
contacts	कांटेक्ट	Contacts
add	जोड़ें	Add
address	पता	Address
name_should_not	नाम में 30 से अधिक वर्ण नहीं होने चाहिए।	Naam me 30 se jyada characters nahi ho sakte
address_should_not	पते में 50 से अधिक वर्ण नहीं होने चाहिए।	Address maximum 50 characters ka hi ho sakta hai
invalid_phone	10 अंकों का सही मोबाइल नंबर डालें	10 digit ka correct mobile number likhein
where_do_you_want_choose_from	आप कहां से चुनना चाहते हैं?	Kaha se choose karna chahte hain?
txn_gallery_permission_msg	बिल जोड़ने के लिए गैलरी परमिशन दें	Bill ki photo jodne ke liye gallery ki permission dein
customer_profile_camera_permission_msg	बिल जोड़ने के लिए कैमरा परमिशन दें	Bill ki photo jodne ke liye camera permission dein
customer_profile_gallery_permission_msg	बिल जोड़ने के लिए गैलरी परमिशन दें	Bill ki photo jodne ke liye gallery ki permission dein
add_first_customer	अपना पहला ग्राहक जोड़ें	APNA FIRST CUSTOMER JODIYE
home_sort_last_payment	पेमेंट ड्यू	Payment due
privacy_policy	गोपनीयता नीति	Privacy Policy
add_mobile_desc	हर लेनदेन का अपडेट भेजने के लिए मोबाइल जोड़ें	Har len den ka update bhejne ke liye mobile jodein
edit_mobile	मोबाइल नंबर बदले	Mobile Number badlein
enter_4_digit_code_sent_on_new_mobile_number_of	नए मोबाइल नंबर पर भेजे गए 4 अंकों का कोड दर्ज करें	Naye mobile number par bheja hua 4 digit code bharein
didnt_code	कोड प्राप्त नहीं हुआ?	Code nahi aaya?
resend	पुन: भेजें	RESEND
wrong_code_enter_correct_code	गलत कोड ! सही कोड भरें	Galat Code ! Sahi Code Enter Karein
delete_cus	ग्राहक डिलीट करें	Delete Customer
custpr_add_address	पता जोड़ें	Address jodiye
invalid_name	अमान्य नाम	Invalid Naam
